Date,Score,URL,IP
2025-04-07 02:02:02,5.3,https://zpr.io/YPPGfzWtsxn6,3.217.154.69
2025-04-07 02:01:59,5.5,https://zgcscylt.com/bk-cgi-bin/ORIXLOGINP/,2606:4700:3037::6815:52c2
2025-04-07 02:01:58,7.2,https://zakopane-magdalenka.pl//wp-includes/sodium_compat/namespaced/Core/bel/zen/lbg/lb/net/login.php,185.40.199.50
2025-04-07 02:01:49,4.4,https://www.egmvmm.cn/,43.165.129.119
2025-04-07 02:01:43,4.0,https://www.app-id-notify-account.50-6-207-98.cprapid.com/signin,50.6.207.98
2025-04-07 02:01:35,4.2,https://webmail-sign-in.webflow.io/,104.18.36.248
2025-04-07 02:01:35,4.1,https://vpass.yijiabb.com,2606:4700:3037::ac43:ba26
2025-04-07 02:01:33,4.1,https://vpass3.yijiabb.com/?efgqag/,2606:4700:3037::ac43:ba26
2025-04-07 02:01:32,4.1,https://vpass2.yijiabb.com,2606:4700:3037::ac43:ba26
2025-04-07 02:01:25,5.5,https://user.fm/files/v2-6d69ee599b97f8cb91c28520e3c43c4b/po,103.168.172.56
2025-04-07 02:01:17,5.0,https://tinyurl.com/26z3yz52,2606:4700::6812:6fa1
2025-04-07 02:01:09,4.0,https://t.co/6bPkmNvgyZ,172.66.0.227
2025-04-07 02:01:04,5.3,https://store.wallpaperenginelive.com/,92.118.112.12
2025-04-07 02:01:01,5.8,https://steamcommunity-br1z1.com/profiles/7656119808043487328/,172.67.211.109
2025-04-07 02:01:00,4.9,https://sp.haloskins.shop/,47.76.207.74
2025-04-07 02:00:50,4.6,https://sincronizaciondedispositivositau.glitch.me/,2a04:4e42::571
2025-04-07 02:00:31,5.4,https://roblox.ls/users/5389236090/profile,185.71.66.140
2025-04-07 02:00:20,6.0,https://robllox.hk.com/games/142823291/Murder-Mystery-2?privateServerLinkCode=19868680156407975881725578395032,185.71.66.140
2025-04-07 01:59:52,5.7,https://pub-bc3fdbc09d734107b88dc71c9608bd2a.r2.dev/cnVTIyNTXzNPOzhqQmFmOkBkfTJ1QEBZaJTBBPlBYU2dCXkBYNzJnZHEhbGFHKVlVYmRaX1JQbmZOLm85GxxbnQlbHU3TEBe.html,162.159.140.237
2025-04-07 01:59:50,5.6,https://pub-4cde92415b644c4c8bb810008a1cecb0.r2.dev/index.html,172.66.0.235
2025-04-07 01:59:48,5.5,https://projectcontrolnames.s3.eu-north-1.amazonaws.com/zix.html,3.5.216.227
2025-04-07 01:59:41,4.5,https://mytokayogas-tinus.toh27.com/api/mtgas/auth/login/,172.67.139.181
2025-04-07 01:59:40,4.1,https://myspace0-up.s3.us-east-005.backblazeb2.com/OneDoc.html,2605:72c0:6fd:b3::b005:1
2025-04-07 01:59:37,5.5,https://metrovet.co.ke/au/netpanel24/emember-netflix.sncgp.pt/app/index.php?view=main&id=4a85931ff5fd36035a210b1a5f5f72b0,2606:4700:3030::6815:5001
2025-04-07 01:59:36,6.0,https://metrovet.co.ke/au/netpanel24/emember-netflix.sncgp.pt/app/index.php?view=main&id=2d1b7f458847fd3c291ff626300788b4,2606:4700:3030::6815:7001
2025-04-07 01:59:29,5.3,https://lcloud-support.com-4t.ws/aU3V38/code.php/codigo.php,162.240.147.202
2025-04-07 01:58:55,5.3,https://docs.google.com/drawings/d/1zKxldJFkL_6bXf1mb1_B13BcvPvRnwNI5a5xynCeiAE/edit,2607:f8b0:4006:80b::200e
2025-04-07 01:58:54,4.3,https://docs.google.com/drawings/d/1xQ6zGZ708MN6ODTVLmiDECLQrdx6vTIpqU6NV7ZiKnQ/edit,2607:f8b0:4006:80b::200e
2025-04-07 01:58:48,4.3,https://docs.google.com/drawings/d/1GuKiPypzzPNVJkd3xkbl1_ZNG3CbxTBOdhjJNCzCgr0/edit,2607:f8b0:4006:80b::200e
2025-04-07 01:58:45,4.5,https://docs.google.com/drawings/d/17yHnXLDyJkJDRsnbrkT6rimIkohznfneVfJi5ptz29Q/edit,2607:f8b0:4006:80b::200e
2025-04-07 01:58:36,5.6,https://coibase-verifyaccount.24-199-98-85.cprapid.com/signin?c_ds_na=zkQFJZQIoRDX9Dpd7WWVQTUbZm3IX9ujpy4VRNpkjo&c_ds_no=text%2Fhtml%2Capplication%2Fxhtml%2Bxml%2Capplication%2Fxml%3Bq%3D0.9%2Cimage%2Favif%2Cimage%2Fwebp%2Cimage%2Fapng%2C%2A%2F%2A%3Bq%3D0.8%2Capplication%2Fsigned-exchange%3Bv%3Db3%3Bq%3D0.7,24.199.98.85
